凌寒	Ling Han
太风	Tai Feng
长老	elder
龙袍	imperial robe
三彩风火莲	Tricolor Wind and Fire Lotus
龙香丹	Dragon Fragrance Pill
海之森林	Forest of the Sea
元气	vitality
后怕	lingering fear
灵芝	ganoderma
人参	ginseng
凌兄	Brother Ling
全立轩	Quan Lixuan
罗景仁	Luo Jingren
关荣	Guan Rong
师兄弟	Sect Brothers
师姐	Sect Sisters
器灵	Tool Spirit
食影族	Shadow-eating Tribe
两界通道	Two Realm Passageway
全力轩	Quan Lixuan
紫纹山河丹	Purple Pattern Mountain River Pill
无敌至圣	Invincible Paragon Saint
臭流氓	damn pervert
大道之剑	Sword of the Great Dao
嗤然	scoff
紫纹星辰丹	Purple Pattern Heavenly Body Pill
无敌至尊	Invincible Paragon Saint
天元道果	Heavenly Origin Dao Fruit
道果	fruits of cultivation
无相圣人	Notionless Saint
圣源	Saintly Origin
圣威	saintly might
转魂花	Reincarnation Flower
圣王	Saint King
九蛇族	Nine Snake Tribe
傲娇	proud	I'm not sure if the author actually means tsundere for some characters (imo seems a bit off sometimes?)
天材地宝	natural treasures
天道	Heavenly Dao
魔主精元	Demonic Power Source
上古天族	ancient divine tribe
古天族	ancient divine tribe
道基	dao foundation
易容丹	Change Appearance Pill
五行之躯	Five Element Body
天人之厄	Immortal's Calamity
四海皇朝	Four Seas Majestic Empire
天钧皇朝	Great Heaven Majestic Empire
张桐	Zhang Tong
杨浩	Yang Hao
韩林	Han Lin
墨孤	Mo Gu
天风山	Heavenly Wind Mountain
穿云峰	Cloud Piercing Peak
白云峰	White Cloud Peak
小圣	Small Saint
中圣	Medium Saint
大圣	Great Saint
天远酒楼	Heavenly Distant
武道之心	dao heart
大统领	Great Commander
禁卫军	Imperial Guards
星空坐标	galactic coordinates
星图	star chart
无上强者	supreme elite
弟子	disciple
海云长老	Elder Hai Yun
翠嶂鼎	Emerald Cliff Cauldron
仿器	replica
白霜峰	White Frost Peak
范如	Fan Ru
黑水峰	Black Water Peak
毕华	Bi Hua
干诗云	Gan Shiyun
神女炉	Goddess Furnace
符良夜	Fu Liangye
百鸟皇朝	Hundred Bird Majestic Empire
超级势力	super-powerful force
种子级天才	seed-level genius
烈焰焚天	Roaring Flames Incinerate the Heaven
神焰	divine flame
陈晓	Chen Xiao
朝宣	Chao Xuan
蓝鸾	Lan Luan
寒少	Young Master Han
吴哲	Wu Zhe
何滔	He Tao
迷糊	ditzy
章龙	Zhang Long
武文通	Wu Wentong
石安国	Shi Anguo
沈竹儿	Shen Zhu'er
匡佩杉	Kuang Peishan
六王	six kings
极夜寒冰	Extreme Night Frosty Ice
幽杨茶叶	Serene Poplar Tea Leaves
幽杨茶	Serene Poplar Tea
方进	Fang Jin
蓝嘴鸟	blue-beaked bird
死灭冲击波	Perishing Shockwave
三云三花剑	Three Clouds Three Flower Sword
梦魇绝功	Extreme Nightmare Technique
雷霆剑法	Lightning Sword Technique
天子拳法	Son of Heaven Fist Technique
幽扬茶	Serene Poplar Tea
匡佩衫	Kuang Peishan
杨大人	Lord Yang	cultivator from Majestic Heaven Sect
精神烙印	spiritual mark
魏则诚	Wei Zecheng
大绝血虎术	Absolute Great Blood Tiger Technique
韩兄	Brother Han
韩师兄	Senior Brother Han
黄泉秘境	Yellow Spring Mystery Realm
郜门	Gao Faction
盖咏思	Gai Yongsi
郜方	Gao Fang
郜荒	Gao Huang
墨氏商号	Mo Clan Establishment
墨家	Mo Clan
墨家商号	Mo Clan Establishment
韩火	Han Huo
墨氏商号	Mo Clan Business
韩少	Young Master Han
韩掌柜	Manager Han
七绝飞火丹	Seven Ultimate Flying Flame Pill
千鸟峰	Thousand Birds Peak
诸天愁	Zhu Tianchou
千源真液	Thousand Source True Fluid
黄泉	Yellow Spring
氤氲夺魂花	Misty Soul Capturing Flower
死亡谷	Death Valley
玉佩	jade pendant
圣甲虫	Saintly Scarabs
九重神莲	Nine Layer Divine Lotus
孟团长	Leader Meng
孟苇	Meng Wei
神念	divine sense
体修	Body Arts
狂野血灵丹	Berserk Blood Spirit Pill
季正平	Ji Zhengping
蝮毒爆丹	Viper Poison Explosive Pill
纨绔	profligate
红雨神王	Red Rain Divine King Tree
老参	old ginseng
神液	divine fluid
千鹤丹	Thousand Crane Pill
法旨	decree
时明	Shi Ming
贱参	despicable ginseng
宝液	treasure fluid
道誓	dao oath
气态人	aura-formed person
花门	Hua Faction	郜门
姬云芝	Ji Yunzhi
周通	Zhou Tong
千万	ten million
花阳文	Hua Yangwen
花永宁	Hua Yongning
胡门	Hu Faction
胡向迪	Hu Xiangdi
雷玲珑	Lei Linglong
沉阴老魔	Sinking Shade Old Demon
蓝云	Lan Yun
地心	land's heart
蓝肤强者	blue-skinned elite
摘星步	Star Plucking Step
于四	Yu Si
白玉殿	White Jade Palace
沈括	Shen Kuo
马概	Ma Gai
杨师叔	Uncle Yang	when referring to Yang Hao
师父	master
妞	Niu
天人之衰	Celestial Decline
感悟	appreciation
青衣老妪	old woman in cyan
云顶星	Cloud Apex Planet
九蛇池	Nine Snake Pond
灵雨洗骨丹	Spiritual Rain Bone Developing Pill
大赤阳帝朝	Great Crimson Sun Imperial Empire
赤焰皇	Crimson Flames Emperor
雷爆丹	Explosive Thunder Pill
雷霆果	Lightning Fruit
赤云藻	Crimson Cloud Aquatic Grass
创世之力	power of construction	for Genesis Tier Saints (depends on context)
灭世之力	power of destruction	for Demon Masters
武道层次	overall level of cultivation
河外	Eternal River
星域	galaxy	(dependent on context)
长光星域	Long Light Galaxy
寒临阁	Han Lin Pavilion
梁金波	Liang Jinbo
康兄	Brother Kang
云兄	Brother Yun
四方丹	Four Directions Pill
宝林阁	Treasure Forest Pavilion
胡丹师	Alchemist Hu
凌大师	Grandmaster Ling
大营城	Big Trade City
何大师	Grandmaster He
何景云	He Jingyun
老头	old geezer
李丹师	Alchemist Li
栖霞山	Red Clouds Perch Mountains
五阶丹师	Level Five alchemist
大师	Grandmaster
四云四起丹	Four Clouds Four Rising Pill
老头	old man
大长老	senior elder
天威	heaven's might
灵海境	Spiritual Ocean Tier
丹道等级	alchemy level
林雨绮	Lin Yuqi
主上	lord
主上	milady
韩心妍	Han Xinyan
天凤女	Heavenly Phoenix Maiden
马漳	Ma Zhang
红雨神王果	Red Rain Divine King Fruit
韩大师	Grandmaster Han
九皇金钟丹	Nine Emperor Golden Bell Pill
凌家未亡人	Ling Family's Widow
永望	Yongwang
水元谷	First Water Valley
左前尉	Left Vanguard
谢前	Xie Qian
谢东来	Xie Donglai
水元谷	Water Element Valley
青萝	Qing Luo
界灵石	Realm Spirit Stone
紫月军	Purple Moon Army
古丹方	ancient pill recipe
功勋	merit points
十二天秘境	Twelve Heaven Mystery Realm
天河王	Heavenly River King
青焰雕	Azure Flame Vulture
几千万	tens of millions
狼牙城	Wolf Fang City
蓝云帝朝	Blue Cloud Imperial Empire
紫月神女	Purple Moon Divine Maiden
长风军	Wind Riders Army
长风天王	Wind Rider Divine King
罗汉军	Holy Army
广行僧王	Wide Travel Monk King
剑影	sword projections
小寒子	Little Han
参爷	Grandpa Ginseng
五行之灵	spirit of the five elements
石头人	rock golem
天凤姐	Sister Heavenly Phoenix
朱丽云	Zhu Liyun
云姐	Big Sister Yun
传送阵	Transfer Formation
敖子云	Ao Ziyun
八阶丹师	level eight alchemist
黑龙族	Black Dragon Race
两界天骄会	Two Realm Prodigy Gathering
谢家	Xie Clan
仙焰	immortal flame
浴火重生	Rising From The Ashes
仙凰	Immortal Phoenix
仙龙	Immortal Dragon
暗灭黑龙枪	Dark Destruction Black Dragon Spear
仙界	Celestial Realm
丹毒	alchemic poison
千幻刀	Thousand Hallucination Saber
炎军	Yan Jun
鲲鹏	Roc
炎师弟	Junior Brother Yan
烈焰宗	Blazing Inferno Sect
老张客栈	Old Zhang's Inn
七师兄	Seventh Senior Brother
茅祖师	Founder Mao
赤荒极	Chi Huangji
钱师叔	Uncle Qian
仙兽	Immortal Beast
不灭生命之火	Indestructible Flame of Life
混沌原兽	Primal Chaos Origin Beast
万化龟	Thousand Transformations Tortois
金刚蚁	Diamond Ant
钱森	Qian Sen
高层	higher-up
森然	menacing
金源拍卖行	Gold Origin Auction House
几十万	hundreds of thousands
山河林	Mountain River Forest
日月谷	Sun Moon Valley
谢大将军	Great General Xie
金宣	Jin Xuan
碧春阁	Jade Spring Pavilion
金明	Jin Ming
金家	Jin Clan
世子	heir
金宣	Jin Xuan
炼器	tool refinement
谢世子	Heir Xie
无面	Faceless
无面兄	Brother Faceless
空间袋	Spatial Sack
柳十	Liu Shi
青雷宗	Blue Thunder Sect
十二部大将	twelve military officers
柳祖师	Ancestor Liu
中年男子	middle-aged man
张横	Zhang Heng
青鸾	Azure Phoenix
黑金魔鹰爪	Black Gold Demonic Eagle Claw
祖器	ancestral weapon
韩风	Han Feng
上官巧	Shangguan Qiao
惜花宫主	Palace Leader Xi Hua
小主	Little Master
乱魔宫	Chaotic Demon Palace
铁无涯	Tie Wuya
追星步	Star Plucking Step	author made a typo when introducing the technique, so it's actually plucking
月影	Yue Ying
北皇	North Emperor
石皇	Stone Emperor
杨林	Yang Lin
云女	Cloud Maiden
拓拔东	Tuoba Dong
谈葛	Dan Ge
拓跋东	Tuoba Dong
小青	Little Qing
九河上人	Nine River Venerate
千峰帝朝	Thousand Peak Imperial Empire
容涛	Rong Tao
左全	Zuo Quan
圣料	Saintly Material
峡谷	canyon
凤血真金	Phoenix Blood True Gold
梦回木	Returning Dream Wood
生命之火	flame of life
先天石灵	Natural-born Stone Spirit
丰海星域	Plentiful Sea Galaxy
青海圣人	Plentiful Sea Saint
普道星域	Universal Dao Galaxy
云石圣人	Cloud Stone Saint
王中王	king among kings
无颜族	Faceless Tribe
顶级王者	supreme king tier
天雷	divine lightning
仙气	Celestial Qi
破金三拳	Gold Crushing Three Punches
本源神焰	essence divine flames
手诀	hand seals
木灵	Wood Spirit
仙兵	Celestial Tool
柔妖女	Bewitching Maiden Rou
打量	survey
银河	silver river	for Eternal River Tier
战车	chariot
紫金牛	purple-gold bull
邪物	evil beast
地狱烈火阵	Fiery Hell Formation
七霜星域	Seven Frost Galaxy
丁子真	Ding Zizhen
练武场	training ground
丁耀龙	Ding Yaolong
千秋岁月	Tide of the Ages
耀龙	Yaolong
斩尘	Severing Mundane
岁月千秋	Tide of the Ages
老祖	ancestor
丁伶	Ding Ling
仙术	celestial technique
仙人	Celestial	because we used "immortal" for 神灵
星沙武院	Star Sand Martial Arts Academy
四方星域	Myriad Directions Galaxy
星沙圣人	Star Sand Saint
赤焰帝	Crimson Flame Emperor
蓝云帝	Blue Cloud Emperor
古许	Gu Xu
劫云	tribulation cloud
杀机	killing intent
血侍	Blood Servants
本源	life force
柏崇	Bai Chong
付东流	Fu Dongliu
五行之体	Five Element Body
寒风掌	Cold Wind Palm
天剑城	Heaven's Sword City
祖师	Founder
凌岳锋	Ling Yuefeng
江巧灵	Jiang Qiaoling
恶鬼	evil spirit
陈娣	Chen Di
枫郎	Yuefeng
陈金	Chen Jin
凌空诚	Ling Kongcheng
跃枫	Yuefeng
太祖	Great Ancestor
柳东明	Liu Dongming
程元	Cheng Yuan
师娘	missus
纳兰突	Nalan Tu
空灵龙马	Ethereal Dragon Horse
赵苦	Zhao Ku
时光源液	Time Source Fluid
林宪	Lin Xian
厉若彤	Li Ruotong
聚风城	Gathering Wind City
司马林	Sima Lin
司马家	Sima Clan
苦少	Young Master Ku
十二姬	12 beauties
赵祖翼	Zhao Zuyi
银龙战甲	Silver Dragon Armor
地龙	Earth Dragon
竞技场	tournament ground
九妖	Jiuyao
司徒林	Situ Lin
十亿	billion
司徒见远	Situ Jianyuan
仙器	Celestial Tool
安远	Anyuan Branch
圣药	Saint Pill
林家	Lin Clan
雨姨	Aunty Yu
横云支脉	Hengyun Branch
青雨城	Azure Rain City
北沙	Beisha
林峰	Lin Feng
林雪风	Lin Xuefeng
林建业	Lin Jianye
辜家	Gu Clan
辜少云	Gu Shaoyun
药王窟	Medicine King's Cave
林辛	Lin Xin
林洋	Lin Yang
林拔刀	Lin Badao
林疏影	Lin Shuying
启灵术	Spirit Awakening Technique
张丰	Zhang Feng
入虚丹	Entering Void Pill
冥阴丹	Dark Shade Pill
浑天丹	Turbid Sky Pill
北沙支脉	Beisha Branch
林子宏	Lin Zihong
紫玉九道树	Purple Jade Nine Dao Tree
鬼王窟	Medicine King's Cave	typo by author
韩家	Han Clan
施家	Shi Clan
黄家	Huang Clan
神树	Divine Tree
仙剑	Divine Sword
韩东	Han Dong
泰阳宫	Grand Sun Palace
古道青莲	Ancient Dao Green Lotus
通天玄元丹	Exceptional Talent Black Origin Pill
禅道茶	Zen Tea
洗尘殿	Xichen Palace Hall
泰阳宫	Taiyang Palace
剑痴	sword maniac
绝世大药	supremely valuable medicine
黄鹏	Huang Peng
飞火丹	Flying Fire Pill
爆裂果	Explosion Fruit
摩迦罗	Makara Flower
韩涛	Han Tao
圣王大药	Saint King Great Herb
摩迦罗之花	Flower of Makara
施宾	Shi Bin
古道一	Gu Daoyi
王传洗	Wang Chuanxi
雷动	Lei Dong
天字灭杀令	Heaven Execution Order
九劫剑	Nine Demons Sword
鲁有精	Lu Youjing
大药	Great Herb
狗爷	Grandpa Dog
仙胎	Divine Fetus
鲁成风	Lu Chengfeng
白玉天煞掌	White Jade Murderous Heaven Palm
诅咒王	King of Curses
九幽冰棺	Nine Hells Ice Coffin
丁芝芝	Ding Zhizhi
法相天地	Dao Manifestation
嗡	Weng
星沙大圣	Star Sand Saint
木图星	Wood Figure Planet
柳世原	Liu Shiyuan
柳君天	Liu Juntian
紫风山	Purple Wind Mountain
百老世家	Bailao Clan
石坡门	Stone Hill Faction
燃灯圣人	Dīpankara Saint
闻东	Wen Dong
原少	Young Master Yuan
二阶王者	rank two king tier
一阶王者	rank one king tier
三阶王者	rank three king tier
上官横	Shangguan Heng
东明星域	Eastern Light Galaxy
超大星域	super-large galaxy
大星域	large galaxy
小星域	small galaxy
仙子	celestial maiden
朱悦	Zhu Yue
超级王者	supreme king tier
天凤	Heavenly Phoenix	i.e. Heavenly Phoenix Divine Maiden
五阶王者	rank five king tier
拳魔	Fists Demon
王者杀手	King Tier Assassin
返祖	awaken
沉渊谷	Sunken Abyss Valley
二哥	Second Brother
紫晨风	Zi Chenfeng
龙香月	Long Xiangyue
天下第二	Second in the World
龙香月	Long Xiangyue
浮石	floating rock
聂天成	Nie Tiancheng
聂兄	Brother Nie
飞雨圣人	Flying Rain Saint
单经义	Shan Jingyi
单兄	Brother Shan
六山圣人	Six Mountains Saint
圣果	Saint Fruit
准圣器	Pseudo-Saint Tool
六元山	Six Elements Mountains
紫辰风	Zi Chenfeng
程小凡	Cheng Xiaofan
血神指	God of Blood Finger
天意刀	Heaven's Will Saber
龙族	Dragon Tribe
洪麻	Hong Ma
朝天棍	Skyward Staff
飞花剑	Flying Flower Sword
仙级	Celestial level
老祖	grand elder	depending on context (used for Severing Mundane Tier)
胡宇	Hu Yu
胡家	Hu Clan
九天火	Nine Heavens Flame
苍月城	Dark Moon City
本源之火	origin flame
九大祖火	Nine Great Ancestral Flames
祖火	ancestral flame
本命之火	source flame
太阳石	Sun Stone
真子	True Son
真女	True Daughter
四斩	fourth severance
一斩	first severance
二斩	second severance
三斩	third severance
一斩老祖	first severance grand elder
四斩老祖	fourth severance grand elders
大衍功	Great Evolution Technique
极夜之暗	Darkness of the Paramount Night
苍雨洗尘剑	Sword of Mundane Washing Rain
悲冥元龙破	Dark Grief Origin Dragon Destruction
岁月如歌	Song of the Ages
仙法	celestial technique
道光	Light of Dao
百鬼遮天	A Hundred Ghosts Cloud Heavens
九风腿	Nine Winds Kick
太阳体	Sun Physique
光耀天下	Dazzle the Heavens
万古最天骄	the greatest prodigy of all eternity
幼火	young flame
铁裤衩	iron underwear
铁内裤	iron underwear
十世神通	Mystical Power of Ten Lives
仙光	celestial light
九青圣人	Nine Azure Saint
体质	physique
安明圣人	Peaceful Radiance Saint
黑河圣人	Black River Saint
明心圣人	Tranquil Heart Saint
苦药	Hardship Alchemy
八重门	Eight Doors
九世归一	Nine Lives Fuse as One
百鬼夜行	Hundred Demons in the Night
云霞圣人	Dawn Cloud Saint
石元龟	Stone Origin Tortoise
乌正甫	Wu Zhengfu
狂雨圣人	Torrential Rain Saint
铁刀圣人	Iron Saber Saint
易高宁	Yi Gaoning
刺头	troublemaker
阵眼	formation eye
切磋	spar
入道	succeed Dao
阵纹	formation patterns
刻	inscribe
小黑	Little Black
大黑狗	large black dog	note: i've used he for the dog, since he was gendered when introduced
先祖文心	Ancestor Wenxin
银发金角	silver-haired and golden-horned senior disciple
任非云	Ren Feiyun
八分院	eighth campus
巨头	big shot
圣谕	Saintly Decree
蔡淼	Cai Miao
奇天	Qi Tian
余素素	Yu Susu
阴阳五行阵	Yinyang Five Element Formation
大衍丹	Great Amplification Pill
贾亮	Jia Liang
古院	Ancient Academy	Academy inside Star Sand Martial Arts Academy
莫里	Mo Li
阵道	formations
别院	courtyard
云少爷	Young Master Yun
杀阵	killing formation
张健	Zhang Jian
小姑	aunty
龙家	Long Tribe
铁骨蛮熊血脉	Iron Bone Barbaric Bear Bloodline
铁骨蛮熊	Iron Bone Barbaric Bear
法相	Dao Manifestation
明心阁	Tranquil Heart Pavilion
广场	plaza
万古青莲阵	Ancient Azure Lotus Formation
圣药	Saintly medicine
苦药圣人	Hardship Alchemy Saint
仙源	Celestial Source
王器	Royal Tool
烂木剑	broken wooden sword
王族	royal clan
魔纹	demonic patterns
八院	eighth campus
卫震	Wei Zhen
云少	Young Master Yun
拂尘	fly-whisk
朱秀儿	Zhu Xiu'er
圣母	Saint Missus
血鸦阵	Blood Crow Formation
严青	Yan Qing
禁地	Forbidden Land
八石禁地	Eight Stones Forbidden Land
胡灿	Hu Can
胡兵	Hu Bing
胡静	Hu Jing
青元玉石	Green Origin Jade
开云王	Open Clouds King
边度	Bian Du
施刚阳	Shi Gangyang
宓学名	Mi Xueming
胡英木	Hu Yingmu
胡洛	Hu Luo
圣境	Saint Tier
胡枫	Hu Feng
八石族	Eight Stones Tribe
仙料	Celestial Material
森罗九绝阵	Limitless Nine Deaths Formation
勾力	Gou Li
绿宝鸡	Green Treasure Chicken
水天术	Water Heaven Art
寒云星	Cold Clouds Planet
极光星域	Aurora Galaxy
黑玉山	Black Jade Mountains
污王	Filth King
偷鸡贼	Chicken Thief
广飞尘	Guang Feichen
红晴鱼果	Red Clear Fish Fruit
渡生功	Life Crossing Art
贝开	Bei Kai
宝瓶印	Treasure Bottle Seal
竺萱	Zhu Xuan
竺仙子	Fairy Zhu
霸剑魔主	Overlord Sword Demon Master
莫离	Mo Li
巫觉	Wu Jue
狂乱	Hysteria
海空星	Sea Space Planet
圣纹	Saintly patterns
仙纹	celestial patterns
太古神液	Primordial Divine Fluid
明王果	Bright King Fruit
清灵炼乳	Clear Spirit Condensed Milk
魔莲印	Demonic Lotus Seal
圣级阵法	Saint-level formation
八石术	Eight Stone Technique
诸八	Zhu Ba
黄魔	Yellow Demon
天帝	Heavenly Emperor
谈歾	Tan Mo
魔器	Demonic Tool
谈家	Tan Clan
六祖	Sixth Elder
谈风	Tan Feng
灌力	power boost
飞龙残影手	Flying Dragon Shadow Hands
海龙山	Ocean Dragon Mountain
仙液	celestial fluid
成家	Cheng Clan
狂乱魔主	Hysteria Demon Master
玄魔	Black Demon
成付	Cheng Fu
御虚仙王	Imperial Void Celestial King
御虚	Imperial Void
大动荡	great turmoil
大动乱	great turmoil
魔兵	Demonic Tool
三祖	Third Elder
地魔	Earth Demon
谈云	Tan Yun
东昌	Dongchang
道心	Dao Heart
天魔	Heaven Demon
谈老鬼	Old Geezer Tan
凌污王	Filth King Ling
老天魔	old Heaven Demon
破天盟	Heaven Crushing Alliance
古界	Ancient Realm
欧阳太山	Ouyang Taishan
灵宝银菱	Spiritual Treasure Silver Chestnut
亿万	millions and millions
九节神竹	Nine Segment Divine Bamboo
神竹	Divine Bamboo
青河谷	Green River Valley
太平宫	Peace Palace
叶承章	Ye Chengzhang
郑景	Zheng Jing
刘敢	Liu Gan
章挺	Zhang Ting
叶全	Ye Quan
刘当	Liu Dang
郑漠	Zheng Mo
欧阳河	Ouyang He
冷筱染	Leng Xiaoran
勾海	Gou Hai
古风	Gu Feng
天云破山手	Heavenly Clouds Piercing Mountain Hand
化雾诀	Mist Technique
虚空花	Void Flower
仙花	Celestial Flower
仙药	Celestial medicine
韩奇	Han Qi
九重甲	Nine Layered Armour
九幽冰雾	Nine Underworlds Ice Mist
九幽冰刺	Nine Underwords Ice Spike
九幽寒水旗	Nine Underwords Frost Water Flag
寒霜千影	Frost of Thousand Shadows
九幽城	Nine Underworlds City
神料	Godly Material
放逐术	Banishing Technique
异空间	separate dimension
胡扬尘	Hu Yangchen
胡东平	Hu Dongping
天残腿	Savage Heaven Kick
青羽圣王	Blue Feather Saint King
白虹禁地	White Rainbow Forbidden Land
赤昂血	High Crimson Blood
紫牝神金	Purple Valley Godly metal
九小姐	Ninth Young Miss
龙语姗	Long Yushan
杨子歌	Yang Zige
景怡	Jing Yi
固阳星域	Strong Sun Galaxy
罗海星	Gathered Seas Planet
开云禁地	Open Clouds Forbidden Land
重八度	Zhong Badu
时光龙族	Time Dragon Tribe
重家	Zhong Clan
圣兵	Saint Tool
九脉仙剑	Nine Meridians Celestial Sword
农括山	Agriculture Enclosed Mountains
明王金身	Immovable Deity Metal Body
夺舍	possess
神性精华	divine essence
分身	doppelgangers
激起	spur
凤王	Phoenix King
重野	Zhong Ye
灭世雷霆	Extermination Lightning
电闪	Lightning Flash
三叉戟	three-pronged halberd
杨铭	Yang Ming
童家	Tong Clan
小骨	Xiao Gu
死人菇	Death Mushroom
圣王药	Saint King medicine
闪击	Lightning Flash
毁灭者	Destroyer
魂力	Spiritual Power
先天通灵果	Natural Psychic Fruit
庞真	Pang Zhen
东仙域	Eastern Celestial Realm
西仙域	Western Celestial Realm
星石	Star Stones
一星城	One Star City
苍月军	Dark Moon Army
黑月教	Black Moon Sect
傅家	Fu Clan
丁啸尘	Ding Xiaochen
一星资质	One Star aptitude
二星资质	Two Star aptitude
冒书玉	Mao Shuyu
冒代	Mao Dai
资质	aptitude
屠康	Tu Kang
屠教官	Instructor Tu
血影狼	Blood Shadow Wolf
佛心茯苓	Buddha Heart Fungus
副统领	Vice Commander
段家	Duan Clan
青龙军	Azure Dragon Army
朱雀军	Vermilion Bird Army
白虎军	White Tiger Army
隆家	Long Clan
丁虎	Ding Hu
擂主	defending champion
碧血食人树	Jade Blood Man-Eating Tree
断魂刀	Spirit Severing Saber
念刃	psychic blade
卫波	Wei Bo
秦恨玉	Qin Henyu
罗欣阳	Luo Xinyang
伍精	Wu Jing
山贼	mountain bandits
教官	military instructor
乱风山	Chaotic Wind Mountains
巴雨城	Bayu City
江无伤	Jiang Wushang
隆高飞	Long Gaofei
张充	Zhang Chong
临尘渊	Mortality Barrier Pool
黑月城	Black Moon City
二星城	Two Star City
三星城	Three Star City
丁寻	Ding Xun
白虎队	White Tiger Team
隆成仁	Long Chengren
段文	Duan Wen
青龙队	Azure Dragon Team
朱雀队	Vermillion Bird Team
段军	Duan Jun
裂光球	Cracking Light Sphere
不死物质	Immortal Substance
四星城	Four Star City
五星城	Five Star City
柳暮雨	Liu Muyu
大凌教	Great Ling Sect
驿站	relay station
双极城	Double Extreme City
元兴平	Yuan Xingping
仙云岛	Celestial Clouds Island
斩尘渊	Severing Mundane Pool
圣子	Holy Son
白阳城	White Sun City
苍焰城	Blue Flames City
单玉静	Dan Yujing
圣女	Holy Daughter
疾雷城	Swift Lightning City
边哲	Bian Zhe
长孙良	Changsun Liang
三头银蛟	Three-Headed Silver Dragon
童林	Tong Lin
白茫	White Haze
八星长老	eight star elder
四星长老	four star elder
升龙击	Ascending Dragon Strike
项文昆	Xiang Wenkun
葬鬼剑	Buried Ghost Sword
童金云	Tong Jinyun
百亿	ten billion
百宏城	Hundred Magnificence City
萧家	Xiao Clan
萧东	Xiao Dong
萧胜	Xiao Sheng
斩尘	Severing Mundane Tier
祖庙	ancestral shrine
冒大人	Lord Mao
丁山	Ding Shan
丁松	Ding Song
韩路	Han Lu
三星势力	three-star force
一星势力	one-star force
灵牌	memorial tablets
万兽奔腾	Stampede of Ten Thousand Beasts
三星家族	three-star clan
丁啸龙	Ding Yaolong
觊觎	covet
逆天	heaven-defying
大道规则	Regulations of the Great Dao
扬月城	Moon Scattering City
少宫主	Young Imperial Empress
龙鹰	Dragonhawk
北荒	Desolate North
宋吉	Song Ji
托天城	Heaven Holding City
马颖	Ma Ying
傅晓芸	Fu Xiaoyun
北玄明	Bei Xuanming
最弱斩尘	weakest severance
普通斩尘	normal severance
完美斩尘	flawless severance
太阴教	Lunar Sect
四星势力	four-star force
归元殿	Return to Origin Palace
路霸	highway robbers
斩尘果	Severing Mundane Fruit
斩尘之力	Severing Mundane Power
齐家	Qi Clan
母水	Source Water
死亡窟	Cave of Death
玄阴母水	Xuanyin Source Water
万兽仙王	Multitude Beasts Celestial King
封情殿	Sealed Emotion Palace
封情天尊	Sealed Emotion Heavenly Venerable
丁行	Ding Xing
三界塔	Tower of Three Realms
穹窿山	Sky Mountains
宁浩	Ning Hao
仙丹	Celestial pill
风火九云丹	Winds and Fires Nine Clouds Pill
向严	Xiang Yan
司徒堂	Situ Tang
仙云母参	Celestial Clouds Mother Ginseng
凤血鸡	Phoenix Blood Chicken
库英	Ku Ying
华远城	Splendid Distant City
傅高云	Fu Gaoyun
冰云剑	Icy Clouds Sword
亿	100 million
丁峻	Ding Jun
雷霆霹雳	Thunderbolt
丁霜	Ding Shuang
战兽	Battle Beast
霹雳兽	Thunder Beast
十兽术	Ten Beasts Technique
万鬼铃	Bell of Ten Thousand Ghosts
韩鸿飞	Han Hongfei
药园	Medicinal Garden
七命天云	Seven Lives Divine Clouds
鹿爷	Grandpa Deer
离天城	Heaven Departing City
恨别城	Separation Reluctance City
大王城	Great King City
小王城	Minor King City
离恨城	Separation Resentment City
严老	Elder Yan
司徒小真	Situ Xiaozhen
傅兄	Brother Fu
天龙学宫	Heavenly Dragon Academy
准仙金	Pseudo Divine Metal
黑玉手	Black Jade Hand
傅正同	Fu Zhengtong
走狗	lackey
仙浴池	Celestial Bath Pool
灭仙绝	Ultimate Celestial Elimination
阳魂	yang soul
阴魂	yin soul
地魂	earth soul
天魂	heaven soul
道侣	dao partner
海少	Young Master Hai
家主	clan leader
规则锁链	Chains of Regulations
准仙器	Pseudo Celestial Tool
冒兄	Brother Mao
傅通海	Fu Tonghai
傅修平	Fu Xiuping
傅冰冰	Fu Bingbing
金至宇	Jin Zhiyu
莲花落	Descending Lotus Flowers
程兄	Brother Cheng
程钟	Cheng Zhong
程家	Cheng Clan
潜龙秘境	Hidden Dragon Mystery Realm
血龙石	Blood Dragon Stones
血龙甲	Blood Dragon Armor
李旋	Li Xuan
赵名庞	Zhao Mingpang
赵庞	Zhao Pang
傅俊永	Fu Junyong
俊永兄	Brother Junyong
一重	First Heaven
九重	Ninth Heaven
二重	Second Heaven
南斗石阳水	Southern Cup Rock Sun Water
傅思远	Fu Siyuan
灵物	spiritual matter
本源之力	Source Power
九大母水	Nine Great Source Waters
三星丹师	three-star alchemist
道则	Regulations
本源	Source Power
柳怀玉	Liu Huaiyu
媚功	charm technique
海兄	Brother Hai
素女门	Purity Sect
柔	Rou
重兵阁	Massive Military Pavilion
南素玉	Nan Suyu
千赵	Qianzhao
千赵田	Qianzhao Tian
北宇家	Beiyu Clan
北宇雄	Beiyu Xiong
古雨教	Ancient Rain Sect
林芳	Lin Fang
媚术	charm techniques
九转媚体	Nine Revolutions Charm Physique
役火术	Flame Control Technique
双修	dual cultivation
傅采	Fu Cai
